target,version,patch,code,state,class
# ALBERTA ----------------------------------------------------------------------------------------
Cardston,1.45,,ab_cardston,alberta,city
Lethbridge,1.44,,lethbridg,alberta,city

# ARIZONA ----------------------------------------------------------------------------------------
target,version,patch,code,state,class
Ash Fork,1.43,,az_ashfork,arizona,city
Bitter Springs,1.43,,az_bitterspr,arizona,city
Cameron,1.43,,az_cameron,arizona,city
Camp Verde,1.43,,az_campverde,arizona,city
Chinle,1.43,,az_chinle,arizona,city
Clifton,1.43,,az_clifton,arizona,city
Colorado City,1.43,,az_coloradoc,arizona,city
Desert View,1.58,0.305,az_desertvw,arizona,city
Ehrenberg,1.43,,az_ehrenberg,arizona,city
Flagstaff,1.43,,az_flagstaff,arizona,city
Fredonia,1.43,,az_fredonia,arizona,city
Fort Huachuca,1.43,,az_fthuachuc,arizona,city
Ganado,1.57,0.46,az_ganado,arizona,city
Gila,1.43,,az_gila,arizona,city
Globe,1.43,,az_globe,arizona,city
Grand Canyon East Entrance,1.57,0.46,az_gndcynest,arizona,city
Grand Canyon South Entrance,1.57,0.46,az_gndcynsth,arizona,city
Grand Canyon,1.43,,az_grandcany,arizona,city
Hackberry,1.57,0.46,az_hackberry,arizona,city
Holbrook,1.43,,az_holbrook,arizona,city
Kaibeto,1.57,0.46,az_kaibeto,arizona,city
Kayenta,1.43,,az_kayenta,arizona,city
Kingman,1.43,,az_kingman,arizona,city
Lake Havasu City,1.57,0.46,az_lakehavas,arizona,city
Lake Powell,1.43,,az_lakepowel,arizona,city
Many Farms,1.57,0.46,az_manyfarms,arizona,city
Mexican Water,1.43,,az_mexicanwa,arizona,city
Morenci,1.43,,az_morenci,arizona,city
Nogales,1.43,,az_nogales,arizona,city
Page,1.43,,az_page,arizona,city
Parker,1.57,0.46,az_parker,arizona,city
Peach Springs,1.43,,az_peachspgs,arizona,city
Petrified Forest Nat. Park,1.57,0.46,az_petrified,arizona,city
Phoenix,1.43,,az_phoenix az_phoenix93,arizona,city
Prescott,1.43,,az_prescott,arizona,city
Proving Ground,1.43,,az_provinggn,arizona,city
Quartzsite,1.43,,az_quartzsit,arizona,city
Round Rock,1.57,0.46,az_rndrock,arizona,city
Sanders,1.57,0.46,az_sanders,arizona,city
San Simon,1.43,,az_sansimon,arizona,city
Seligman,1.43,,az_seligman,arizona,city
Show Low,1.43,,az_showlow,arizona,city
Sierra Vista,1.43,,az_sierravis,arizona,city
Springerville,1.43,,az_springerv,arizona,city
St. Johns,1.43,,az_stjohns,arizona,city
Teec Nos Pos,1.43,,az_teecnospo,arizona,city
Tuba City,1.57,0.46,az_tubacity,arizona,city
Tucson,1.43,,az_tucson77,arizona,city
Tucson,1.43,,az_tucsoni10,arizona,city
Tusayan,1.57,0.46,az_tusayan,arizona,city
Twin Arrows,1.57,0.46,az_twinarr,arizona,city
Valle,1.43,,az_valle,arizona,city
Wickenburg,1.43,,az_wickenbur,arizona,city
Winslow,1.57,0.46,az_winslow,arizona,city
Yuma,1.43,,az_yuma,arizona,city

